conjecture_id,found,elapsed_s,violation_score,graph6
3979,True,0.0012,6.211972,>>graph6<<@
4288,True,0.0009,2.736013,>>graph6<<@
5381,True,0.0008,0.021531,>>graph6<<@
5421,True,0.0025,12.672536,>>graph6<<@
5968,True,0.001,0.397829,>>graph6<<@
5983,True,0.0007,0.312552,>>graph6<<@
6011,True,0.0008,0.692754,>>graph6<<@
6013,True,0.0007,1.737323,>>graph6<<@
6020,True,0.0007,0.334774,>>graph6<<@
6124,True,0.0326,0.357627,>>graph6<<Bo
6270,True,4.5322,51.225881,>>graph6<<O~~~~~~~~~~~~~~~~~w?O
6351,True,0.0008,1.297537,>>graph6<<@
6466,True,4.2646,18.564972,>>graph6<<M]~v~z~~v~~}C?C??
6472,True,4.3198,9.887274,>>graph6<<ObIkZxZ{EnUrqkMl|iO@?
6617,True,0.0011,0.444635,>>graph6<<@
7205,True,4.1233,59.538462,>>graph6<<J~[ww]Fo~B_
7206,True,3.9791,90.133333,>>graph6<<K~[ww[F_}B{F
7212,True,3.9717,51.777778,>>graph6<<J~[ww]Fo~B_
7213,True,3.9549,53.466667,>>graph6<<J~[ww]Fo~B_
7565,True,4.3234,9.471816,>>graph6<<ObIkZxZ{EnUrqkMl|iO?C
7566,True,4.6922,43.360094,>>graph6<<K]~v}z~zv~~}
7694,True,0.0009,0.352706,>>graph6<<@
7695,True,0.0008,0.30606,>>graph6<<@
7703,True,0.0009,0.216138,>>graph6<<@
7711,True,0.0017,12.387247,>>graph6<<@
7712,True,0.0011,7.974374,>>graph6<<@
7713,True,0.0009,8.581094,>>graph6<<@
7718,True,0.0007,5.324366,>>graph6<<@
7719,True,0.0007,5.976085,>>graph6<<@
7732,True,0.5602,0.272587,>>graph6<<L~~~~~~~~~~~~~
7734,True,0.4482,0.842396,>>graph6<<K~~~~~~~~~~~
7743,True,0.0008,3.462416,>>graph6<<@
7753,True,0.0009,6.082683,>>graph6<<@
7773,True,0.0008,3.462416,>>graph6<<@
7811,True,0.5318,0.813035,>>graph6<<L~~~~~~~~~~~~~
7813,True,0.0011,62.771538,>>graph6<<@
